,name,tvTropesAddress,tropeCount,runTime
0,Armageddon,http://tvtropes.org/pmwiki/pmwiki.php/Film/Armageddon,145,0
1,Avatar,http://tvtropes.org/pmwiki/pmwiki.php/Film/Avatar,198,0
2,The Black Hole,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheBlackHole,89,0
3,Cherry 2000,http://tvtropes.org/pmwiki/pmwiki.php/Film/Cherry2000,20,0
4,Chronicle,http://tvtropes.org/pmwiki/pmwiki.php/Film/Chronicle,144,0
5,Pitch Black,http://tvtropes.org/pmwiki/pmwiki.php/Film/PitchBlack,104,0
6,Riddick,http://tvtropes.org/pmwiki/pmwiki.php/Film/Riddick,136,0
7,The Core,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheCore,81,0
8,Crossworlds,http://tvtropes.org/pmwiki/pmwiki.php/Film/Crossworlds,29,0
9,Demolition Man,http://tvtropes.org/pmwiki/pmwiki.php/Film/DemolitionMan,229,0
10,Doom,http://tvtropes.org/pmwiki/pmwiki.php/Film/Doom,103,0
11,Dreamscape,http://tvtropes.org/pmwiki/pmwiki.php/Film/Dreamscape,36,0
12,Dune,http://tvtropes.org/pmwiki/pmwiki.php/Franchise/Dune,469,0
13,Dune,http://tvtropes.org/pmwiki/pmwiki.php/Film/Dune,51,0
14,Eliminators,http://tvtropes.org/pmwiki/pmwiki.php/Film/Eliminators,37,0
15,Enemy Mine,http://tvtropes.org/pmwiki/pmwiki.php/Film/EnemyMine,31,0
16,Event Horizon,http://tvtropes.org/pmwiki/pmwiki.php/Film/EventHorizon,122,0
17,The Fifth Element,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheFifthElement,209,0
18,Forbidden Planet,http://tvtropes.org/pmwiki/pmwiki.php/Film/ForbiddenPlanet,68,0
19,Freejack,http://tvtropes.org/pmwiki/pmwiki.php/Film/Freejack,13,0
20,Fugitive Alien,http://tvtropes.org/pmwiki/pmwiki.php/Film/FugitiveAlien,33,0
21,Galaxy Quest,http://tvtropes.org/pmwiki/pmwiki.php/Film/GalaxyQuest,305,0
22,G Saviour,http://tvtropes.org/pmwiki/pmwiki.php/Film/GSaviour,38,0
23,Hunter Prey,http://tvtropes.org/pmwiki/pmwiki.php/Film/HunterPrey,14,0
24,In Time,http://tvtropes.org/pmwiki/pmwiki.php/Film/InTime,81,0
25,Iron Sky,http://tvtropes.org/pmwiki/pmwiki.php/Film/IronSky,115,0
26,Iron Sky The Coming Race,http://tvtropes.org/pmwiki/pmwiki.php/Film/IronSkyTheComingRace,0,0
27,Jason X,http://tvtropes.org/pmwiki/pmwiki.php/Film/JasonX,81,0
28,John Carter,http://tvtropes.org/pmwiki/pmwiki.php/Film/JohnCarter,159,0
29,Johnny Mnemonic,http://tvtropes.org/pmwiki/pmwiki.php/Film/JohnnyMnemonic,138,0
30,Judge Dredd,http://tvtropes.org/pmwiki/pmwiki.php/ComicBook/JudgeDredd,892,0
31,Dredd,http://tvtropes.org/pmwiki/pmwiki.php/Film/Dredd,202,0
32,Judge Dredd,http://tvtropes.org/pmwiki/pmwiki.php/Film/JudgeDredd,115,0
33,Judge Minty,http://tvtropes.org/pmwiki/pmwiki.php/Film/JudgeMinty,11,0
34,Jupiter Ascending,http://tvtropes.org/pmwiki/pmwiki.php/Film/JupiterAscending,84,0
35,Lifepod,http://tvtropes.org/pmwiki/pmwiki.php/Film/Lifepod,20,0
36,Lockout,http://tvtropes.org/pmwiki/pmwiki.php/Film/Lockout,69,0
37,Manborg,http://tvtropes.org/pmwiki/pmwiki.php/Film/Manborg,31,0
38,Moonraker,http://tvtropes.org/pmwiki/pmwiki.php/Film/Moonraker,122,0
39,Mutant Girls Squad,http://tvtropes.org/pmwiki/pmwiki.php/Film/MutantGirlsSquad,7,0
40,Nemesis,http://tvtropes.org/pmwiki/pmwiki.php/Film/Nemesis,15,0
41,Pacific Rim,http://tvtropes.org/pmwiki/pmwiki.php/Film/PacificRim,387,0
42,Pandorum,http://tvtropes.org/pmwiki/pmwiki.php/Film/Pandorum,110,0
43,Parallels,http://tvtropes.org/pmwiki/pmwiki.php/Film/Parallels,16,0
44,The Phantom Planet,http://tvtropes.org/pmwiki/pmwiki.php/Film/ThePhantomPlanet,18,0
45,Prometheus,http://tvtropes.org/pmwiki/pmwiki.php/Film/Prometheus,176,0
46,RoboCop,http://tvtropes.org/pmwiki/pmwiki.php/Franchise/RoboCop,131,0
47,RoboCop 2,http://tvtropes.org/pmwiki/pmwiki.php/Film/RoboCop2,113,0
48,RoboCop 3,http://tvtropes.org/pmwiki/pmwiki.php/Film/RoboCop3,52,0
49,Robo Vampire,http://tvtropes.org/pmwiki/pmwiki.php/Film/RoboVampire,10,0
50,The Running Man,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheRunningMan,106,0
51,Saturn 3,http://tvtropes.org/pmwiki/pmwiki.php/Film/Saturn3,26,0
52,Screamers,http://tvtropes.org/pmwiki/pmwiki.php/Film/Screamers,49,0
53,Serenity,http://tvtropes.org/pmwiki/pmwiki.php/Film/Serenity,295,0
54,Soldier,http://tvtropes.org/pmwiki/pmwiki.php/Film/Soldier,91,0
55,Soylent Green,http://tvtropes.org/pmwiki/pmwiki.php/Film/SoylentGreen,41,0
56,Space Battleship Yamato,http://tvtropes.org/pmwiki/pmwiki.php/Film/SpaceBattleshipYamato,93,0
57,Space Mutiny,http://tvtropes.org/pmwiki/pmwiki.php/Film/SpaceMutiny,83,0
58,Starcrash,http://tvtropes.org/pmwiki/pmwiki.php/Film/Starcrash,65,0
59,Starship Troopers,http://tvtropes.org/pmwiki/pmwiki.php/Film/StarshipTroopers,230,0
60,Stargate,http://tvtropes.org/pmwiki/pmwiki.php/Film/Stargate,100,0
61,Stargate Continuum,http://tvtropes.org/pmwiki/pmwiki.php/Film/StargateContinuum,61,0
62,Star Trek,http://tvtropes.org/pmwiki/pmwiki.php/Film/StarTrek,348,0
63,Star Trek Into Darkness,http://tvtropes.org/pmwiki/pmwiki.php/Film/StarTrekIntoDarkness,325,0
64,Star Trek Beyond,http://tvtropes.org/pmwiki/pmwiki.php/Film/StarTrekBeyond,196,0
65,Star Wars,http://tvtropes.org/pmwiki/pmwiki.php/Franchise/StarWars,511,0
66,The Phantom Menace,http://tvtropes.org/pmwiki/pmwiki.php/Film/ThePhantomMenace,118,0
67,Solo,http://tvtropes.org/pmwiki/pmwiki.php/Film/Solo,1,0
68,Rogue One,http://tvtropes.org/pmwiki/pmwiki.php/Film/RogueOne,249,0
69,A New Hope,http://tvtropes.org/pmwiki/pmwiki.php/Film/ANewHope,183,0
70,The Empire Strikes Back,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheEmpireStrikesBack,164,0
71,The Force Awakens,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheForceAwakens,257,0
72,The Last Jedi,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheLastJedi,50,0
73,Star Wars 9,http://tvtropes.org/pmwiki/pmwiki.php/Film/StarWars9,3,0
74,Steps Trodden Black,http://tvtropes.org/pmwiki/pmwiki.php/Film/StepsTroddenBlack,34,0
75,Taeter City,http://tvtropes.org/pmwiki/pmwiki.php/Film/TaeterCity,14,0
76,Thunderbirds,http://tvtropes.org/pmwiki/pmwiki.php/Film/Thunderbirds,50,0
77,Tokyo Gore Police,http://tvtropes.org/pmwiki/pmwiki.php/Film/TokyoGorePolice,18,0
78,Virtual Combat,http://tvtropes.org/pmwiki/pmwiki.php/Film/VirtualCombat,13,0
79,Virtuosity,http://tvtropes.org/pmwiki/pmwiki.php/Film/Virtuosity,36,0
80,Wing Commander,http://tvtropes.org/pmwiki/pmwiki.php/Film/WingCommander,47,0
81,Zathura,http://tvtropes.org/pmwiki/pmwiki.php/Film/Zathura,50,0
82,Alien,http://tvtropes.org/pmwiki/pmwiki.php/Franchise/Alien,100,0
83,Alien,http://tvtropes.org/pmwiki/pmwiki.php/Film/Alien,111,0
84,Aliens,http://tvtropes.org/pmwiki/pmwiki.php/Film/Aliens,255,0
85,The Alien Factor,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheAlienFactor,10,0
86,Alien Nation,http://tvtropes.org/pmwiki/pmwiki.php/Film/AlienNation,46,0
87,Alien Outlaw,http://tvtropes.org/pmwiki/pmwiki.php/Film/AlienOutlaw,7,0
88,Alien Raiders,http://tvtropes.org/pmwiki/pmwiki.php/Film/AlienRaiders,0,0
89,Alien Seige,http://tvtropes.org/pmwiki/pmwiki.php/Film/AlienSeige,0,0
90,The Angry Red Planet,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheAngryRedPlanet,18,0
91,Apollo 18,http://tvtropes.org/pmwiki/pmwiki.php/Film/Apollo18,27,0
92,Area 51,http://tvtropes.org/pmwiki/pmwiki.php/Film/Area51,0,0
93,Arrival,http://tvtropes.org/pmwiki/pmwiki.php/Film/Arrival,95,0
94,The Arrival,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheArrival,29,0
95,Bad Taste,http://tvtropes.org/pmwiki/pmwiki.php/Film/BadTaste,44,0
96,Battleship,http://tvtropes.org/pmwiki/pmwiki.php/Film/Battleship,95,0
97,The Borrower,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheBorrower,6,0
98,CJ7,http://tvtropes.org/pmwiki/pmwiki.php/Film/CJ7,24,0
99,Cloverfield,http://tvtropes.org/pmwiki/pmwiki.php/Film/Cloverfield,70,0
100,Contact,http://tvtropes.org/pmwiki/pmwiki.php/Film/Contact,74,0
101,The Crawling Eye,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheCrawlingEye,10,0
102,The Creeping Terror,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheCreepingTerror,26,0
103,Critters,http://tvtropes.org/pmwiki/pmwiki.php/Film/Critters,32,0
104,The Darkest Dawn,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheDarkestDawn,4,0
105,The Darkest Hour,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheDarkestHour,32,0
106,The Deadly Spawn,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheDeadlySpawn,10,0
107,District 9,http://tvtropes.org/pmwiki/pmwiki.php/Film/District9,168,0
108,Earth To Echo,http://tvtropes.org/pmwiki/pmwiki.php/Film/EarthToEcho,23,0
109,Elysium,http://tvtropes.org/pmwiki/pmwiki.php/Film/Elysium,168,0
110,Evolution,http://tvtropes.org/pmwiki/pmwiki.php/Film/Evolution,62,0
111,Extraterrestre,http://tvtropes.org/pmwiki/pmwiki.php/Film/Extraterrestre,14,0
112,Extraterrestrial,http://tvtropes.org/pmwiki/pmwiki.php/Film/Extraterrestrial,28,0
113,The Faculty,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheFaculty,92,0
114,Feeders,http://tvtropes.org/pmwiki/pmwiki.php/Film/Feeders,14,0
115,The Fourth Kind,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheFourthKind,19,0
116,The Galaxy Invader,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheGalaxyInvader,16,0
117,Hardwired,http://tvtropes.org/pmwiki/pmwiki.php/Film/Hardwired,18,0
118,I Am Number Four,http://tvtropes.org/pmwiki/pmwiki.php/Literature/IAmNumberFour,77,0
119,Independence Day,http://tvtropes.org/pmwiki/pmwiki.php/Film/IndependenceDay,235,0
120,Invisible Invaders,http://tvtropes.org/pmwiki/pmwiki.php/Film/InvisibleInvaders,35,0
121,Just Imagine,http://tvtropes.org/pmwiki/pmwiki.php/Film/JustImagine,17,0
122,Konga,http://tvtropes.org/pmwiki/pmwiki.php/Film/Konga,24,0
123,Laserblast,http://tvtropes.org/pmwiki/pmwiki.php/Film/Laserblast,31,0
124,Lazer Team,http://tvtropes.org/pmwiki/pmwiki.php/Film/LazerTeam,82,0
125,The Last Starfighter,http://tvtropes.org/pmwiki/pmwiki.php/Film/TheLastStarfighter,160,0
126,Man Vs,http://tvtropes.org/pmwiki/pmwiki.php/Film/ManVs,14,0
127,Mars Needs Women,http://tvtropes.org/pmwiki/pmwiki.php/Film/MarsNeedsWomen,0,0
